site,point,year,det1,det2,det3,det4,det5,det6,det7,det8,det9,det10,ttd,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,wind1,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,wind10
SGL089,CA0469,2020,0,0,0,0,0,0,0,0,0,1,10,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0470,2020,0,0,0,1,0,1,0,0,0,0,4,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0471,2020,1,1,1,1,1,0,0,0,0,0,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0472,2020,1,1,1,1,1,1,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0473,2020,1,1,1,1,1,1,0,0,0,0,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0474,2020,1,0,0,0,0,1,1,1,0,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0475,2020,0,1,1,1,1,1,0,0,0,1,2,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0476,2020,0,0,1,0,0,0,0,0,0,0,3,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0477,2020,1,0,0,0,0,0,0,0,0,0,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0478,2020,0,1,1,0,0,0,0,0,0,0,2,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0479,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0480,2020,1,0,1,1,1,0,0,0,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0481,2020,1,1,1,1,1,1,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
